formula_name,mean_solved,mean_weighted_success,mean_penalized_last_improvement,mean_last_improvement
wuf50-068.mwcnf,0.9,0.16337,170.9,112.4
wuf50-067.mwcnf,0.1,0.00390,918.5,107.6
wuf50-069.mwcnf,0.8,0.07720,385.8,190.5
wuf50-070.mwcnf,0.1,0.01009,1025.2,136.0
wuf50-071.mwcnf,0.7,0.15010,352.7,152.9
wuf50-072.mwcnf,0.0,0.00000,642.0,64.2
wuf50-073.mwcnf,0.2,0.02095,1268.5,164.2
wuf50-074.mwcnf,0.8,0.05962,385.5,192.0
wuf50-075.mwcnf,0.0,0.00000,724.0,72.4
wuf50-076.mwcnf,0.3,0.07481,466.8,144.6
wuf50-067.mwcnf,0.1,0.09903,991.5,105.9
wuf50-068.mwcnf,1.0,0.94403,104.8,104.8
wuf50-069.mwcnf,0.9,0.89640,251.3,200.9
wuf50-070.mwcnf,0.4,0.38785,792.1,228.7
wuf50-071.mwcnf,0.8,0.66349,251.5,135.4
wuf50-072.mwcnf,0.0,0.00000,734.0,73.4
wuf50-073.mwcnf,0.0,0.00000,1483.0,148.3
wuf50-074.mwcnf,0.5,0.48096,532.7,125.0
wuf50-075.mwcnf,0.1,0.09900,832.1,94.1
wuf50-076.mwcnf,0.3,0.24155,512.9,129.5
wuf50-067.mwcnf,0.0,0.00000,1108.0,110.8
wuf50-068.mwcnf,0.7,0.66323,379.6,108.7
wuf50-069.mwcnf,0.9,0.89987,328.2,225.6
wuf50-070.mwcnf,0.2,0.19596,1042.4,181.1
wuf50-071.mwcnf,0.7,0.56730,369.6,182.4
wuf50-072.mwcnf,0.0,0.00000,668.0,66.8
wuf50-073.mwcnf,0.2,0.19996,1055.9,132.5
wuf50-074.mwcnf,0.5,0.48304,550.2,158.7
wuf50-075.mwcnf,0.1,0.09933,801.1,92.8
wuf50-076.mwcnf,0.0,0.00000,609.0,60.9
wuf50-067.mwcnf,0.0,0.00000,1302.0,130.2
wuf50-068.mwcnf,0.8,0.14490,207.4,98.5
wuf50-069.mwcnf,0.9,0.08587,240.6,183.9
wuf50-070.mwcnf,0.0,0.00000,1054.0,105.4
wuf50-071.mwcnf,0.8,0.16143,338.5,192.7
wuf50-072.mwcnf,0.0,0.00000,795.0,79.5
wuf50-073.mwcnf,0.2,0.02080,1553.8,193.0
wuf50-074.mwcnf,0.7,0.05466,450.7,195.1
wuf50-075.mwcnf,0.0,0.00000,746.0,74.6
wuf50-076.mwcnf,0.7,0.20810,325.1,142.4
wruf36-157-67.mwcnf,0.1,0.09983,577.0,83.8
wruf36-157-68.mwcnf,0.0,0.00000,746.0,74.6
wruf36-157-69.mwcnf,1.0,0.82232,125.8,125.8
wruf36-157-70.mwcnf,0.3,0.28603,377.9,80.9
wruf36-157-71.mwcnf,0.0,0.00000,645.0,64.5
wruf36-157-72.mwcnf,0.6,0.59838,360.2,88.4
wruf36-157-73.mwcnf,0.4,0.39894,463.6,154.0
wruf36-157-74.mwcnf,0.1,0.09766,1031.8,109.3
